COUNTY_FIPS,MECS_FT,SECTOR,MMBTU
1025,Net_electricity,Agriculture,13322.35989
1025,Net_electricity,Construction,7866.778156
1025,Net_electricity,Manufacturing,1449886.549
1025,Net_electricity,Mining,21648.97918
1025,Other,Agriculture,7820.056642
1025,Other,Manufacturing,7809728.016
1025,Other,Mining,10183.07979
1025,Residual_fuel_oil,Agriculture,0
1025,Residual_fuel_oil,Manufacturing,8.313974471
1025,Residual_fuel_oil,Mining,1469.487381
1027,Coal,Manufacturing,4664.472956
1027,Coal,Mining,56619.91368
1027,Coke_and_breeze,Manufacturing,0
1027,Diesel,Agriculture,56159.01711
1027,Diesel,Construction,29613.42256
1027,Diesel,Manufacturing,11004.99921
1027,Diesel,Mining,69232.17461
1027,LPG_NGL,Agriculture,24499.37386
1027,LPG_NGL,Construction,1227.199479
1027,LPG_NGL,Manufacturing,7365.387861
1027,Natural_gas,Construction,17921.68365
1027,Natural_gas,Manufacturing,381033.4807
1027,Natural_gas,Mining,92063.66652
1027,Net_electricity,Agriculture,48792.4007
1027,Net_electricity,Construction,6701.6483
1027,Net_electricity,Manufacturing,306504.1727
1027,Net_electricity,Mining,149515.0503
1027,Other,Agriculture,15860.86871
1027,Other,Manufacturing,66598.27185
1027,Other,Mining,9740.78314
1027,Residual_fuel_oil,Agriculture,0
1027,Residual_fuel_oil,Manufacturing,3495.446353
1027,Residual_fuel_oil,Mining,39953.88807
1029,Coal,Manufacturing,11.13427039
1029,Coke_and_breeze,Manufacturing,0
1029,Diesel,Agriculture,58886.68534
1029,Diesel,Construction,20872.02619
1029,Diesel,Manufacturing,1756.908738
1029,LPG_NGL,Agriculture,25689.31926
1029,LPG_NGL,Construction,820.6166561
1029,LPG_NGL,Manufacturing,1713.025051
1029,Natural_gas,Construction,9113.327779
1029,Natural_gas,Manufacturing,51309.04446
1029,Net_electricity,Agriculture,53592.74165
1029,Net_electricity,Construction,5054.735795
1029,Net_electricity,Manufacturing,32334.79876
1029,Other,Agriculture,16631.2381
1029,Other,Manufacturing,698.4371261
1029,Residual_fuel_oil,Agriculture,0
1029,Residual_fuel_oil,Manufacturing,2.614420095
1031,Coal,Manufacturing,138.0665854
1031,Coke_and_breeze,Manufacturing,0
1031,Diesel,Agriculture,121216.6417
1031,Diesel,Construction,86623.04567
1031,Diesel,Manufacturing,12818.34616
1031,LPG_NGL,Agriculture,52880.76568
1031,LPG_NGL,Construction,3434.110397
1031,LPG_NGL,Manufacturing,9621.431602
1031,Natural_gas,Construction,36770.198
1031,Natural_gas,Manufacturing,451745.5504
1031,Net_electricity,Agriculture,88372.2772
1031,Net_electricity,Construction,23477.78102
1031,Net_electricity,Manufacturing,476467.2526
1031,Other,Agriculture,34234.95173
1031,Other,Manufacturing,15735.26245
1031,Residual_fuel_oil,Agriculture,0
1031,Residual_fuel_oil,Manufacturing,4391.525802
1033,Coal,Manufacturing,164954.6982
1033,Coal,Mining,56345.54052
1033,Coke_and_breeze,Manufacturing,0
1033,Diesel,Agriculture,90564.886
1033,Diesel,Construction,122631.7241
1033,Diesel,Manufacturing,10865.90021
1033,Diesel,Mining,44034.52933
1033,LPG_NGL,Agriculture,39508.93579
1033,LPG_NGL,Construction,4794.275334
1033,LPG_NGL,Manufacturing,15530.35924
1033,Natural_gas,Construction,54452.21856
1033,Natural_gas,Manufacturing,13909639.96
1033,Natural_gas,Mining,163551.2936
1033,Net_electricity,Agriculture,50617.06513
1033,Net_electricity,Construction,27386.79679
1033,Net_electricity,Manufacturing,1926763.952
1033,Net_electricity,Mining,62728.16524
1033,Other,Agriculture,25578.04321
1033,Other,Manufacturing,28897.54458
1033,Other,Mining,30584.37413
1033,Residual_fuel_oil,Agriculture,0
1033,Residual_fuel_oil,Manufacturing,307.1821164
1033,Residual_fuel_oil,Mining,16008.65913
1035,Coal,Manufacturing,10.39146646
1035,Coal,Mining,12233.57325
1035,Coke_and_breeze,Manufacturing,0
1035,Diesel,Agriculture,47296.28832
1035,Diesel,Construction,22165.27354
1035,Diesel,Manufacturing,13161.8076
1035,Diesel,Mining,3778.306744
1035,LPG_NGL,Agriculture,20633.00801
1035,LPG_NGL,Construction,926.8774114
1035,LPG_NGL,Manufacturing,6445.115509
1035,Natural_gas,Construction,14000.5801
1035,Natural_gas,Manufacturing,179219.9717
1035,Natural_gas,Mining,4932.895064
1035,Net_electricity,Agriculture,23536.41636
1035,Net_electricity,Construction,5015.310507
1035,Net_electricity,Manufacturing,177056.276
1035,Net_electricity,Mining,5619.074144
1035,Other,Agriculture,13357.78755
1035,Other,Manufacturing,2397.143913
1035,Other,Mining,1507.319771
1035,Residual_fuel_oil,Agriculture,0
1035,Residual_fuel_oil,Manufacturing,100.1817917
1035,Residual_fuel_oil,Mining,1125.307711
1037,Coal,Manufacturing,206.9009422
1037,Coke_and_breeze,Manufacturing,0
1037,Diesel,Agriculture,18956.51868
1037,Diesel,Construction,10168.75917
1037,Diesel,Manufacturing,860.4465529
1037,LPG_NGL,Agriculture,8269.78217
1037,LPG_NGL,Construction,399.1987434
1037,LPG_NGL,Manufacturing,422.3266132
1037,Natural_gas,Construction,4512.094508
1037,Natural_gas,Manufacturing,16872.55938
1037,Net_electricity,Agriculture,10959.55546
1037,Net_electricity,Construction,2368.757968
1037,Net_electricity,Manufacturing,30199.82062
1037,Other,Agriculture,5353.848224
1037,Other,Manufacturing,8504.911583
1037,Residual_fuel_oil,Agriculture,0
1037,Residual_fuel_oil,Manufacturing,1.394857718
1039,Coal,Manufacturing,1803907.029
1039,Coal,Mining,17013.28853
1039,Coke_and_breeze,Manufacturing,0
1039,Diesel,Agriculture,143087.3942
1039,Diesel,Construction,134702.2321
1039,Diesel,Manufacturing,12291.96031
1039,Diesel,Mining,13247.52423
1039,LPG_NGL,Agriculture,62421.88248
1039,LPG_NGL,Construction,5620.339523
1039,LPG_NGL,Manufacturing,9952.001659
1039,Natural_gas,Construction,81815.68175
1039,Natural_gas,Manufacturing,2992664.312
1039,Natural_gas,Mining,4709.32908
1039,Net_electricity,Agriculture,95948.95574
1039,Net_electricity,Construction,32442.74418
1039,Net_electricity,Manufacturing,1329203.012
1039,Net_electricity,Mining,14452.20325
1039,Other,Agriculture,40411.86065
1039,Other,Manufacturing,26879.11571
1039,Other,Mining,7421.878512
1039,Residual_fuel_oil,Agriculture,0
1039,Residual_fuel_oil,Manufacturing,13806.3014
1039,Residual_fuel_oil,Mining,5093.376965
1041,Coal,Manufacturing,0.156101411
1041,Coal,Mining,1479.084705
1041,Coke_and_breeze,Manufacturing,0
1041,Diesel,Agriculture,104055
1041,Diesel,Construction,23413.4628
1041,Diesel,Manufacturing,61.4638399
1041,Diesel,Mining,4949.240037
1041,LPG_NGL,Agriculture,45393.99868
1041,LPG_NGL,Construction,945.4045411
1041,LPG_NGL,Manufacturing,603.1903194
1041,Natural_gas,Construction,11941.58818
1041,Natural_gas,Manufacturing,6037.520094
1041,Natural_gas,Mining,596.4054405
1041,Net_electricity,Agriculture,93547.9137
1041,Net_electricity,Construction,5693.453098
1041,Net_electricity,Manufacturing,15140.46053
1041,Net_electricity,Mining,462.8463376
1041,Other,Agriculture,29388.02669
1041,Other,Manufacturing,24.23188232
1041,Other,Mining,3558.466914
1041,Residual_fuel_oil,Agriculture,0
1041,Residual_fuel_oil,Manufacturing,1.456685458
1041,Residual_fuel_oil,Mining,3032.99009
1043,Coal,Manufacturing,12826.1387
1043,Coal,Mining,28753.9595
1043,Coke_and_breeze,Manufacturing,8307.372793
1043,Diesel,Agriculture,333902.3533
1043,Diesel,Construction,196064.1625
1043,Diesel,Manufacturing,29056.17172
1043,Diesel,Mining,90755.23974
1043,LPG_NGL,Agriculture,145664.9174
1043,LPG_NGL,Construction,7470.05517
1043,LPG_NGL,Manufacturing,23993.43887
1043,Natural_gas,Construction,70336.32581
1043,Natural_gas,Manufacturing,2615542.668
1043,Natural_gas,Mining,4712.523202
1043,Net_electricity,Agriculture,311696.7163
1043,Net_electricity,Construction,46263.98106
1043,Net_electricity,Manufacturing,1034389.649
1043,Net_electricity,Mining,33193.10705
1043,Other,Agriculture,94303.31332
1043,Other,Manufacturing,127991.7436
1043,Other,Mining,11854.05006
1043,Residual_fuel_oil,Agriculture,0
1043,Residual_fuel_oil,Manufacturing,3683.64224
1043,Residual_fuel_oil,Mining,45649.98133
1045,Coal,Manufacturing,1493.543407
1045,Coke_and_breeze,Manufacturing,0
1045,Diesel,Agriculture,80684.63913
1045,Diesel,Construction,84629.22676
1045,Diesel,Manufacturing,2389.888666
1045,LPG_NGL,Agriculture,35198.67763
1045,LPG_NGL,Construction,3308.576207
1045,LPG_NGL,Manufacturing,1049.307106
1045,Natural_gas,Construction,36849.53435
1045,Natural_gas,Manufacturing,97571.69977
1045,Net_electricity,Agriculture,69901.49309
1045,Net_electricity,Construction,19497.86421
1045,Net_electricity,Manufacturing,45598.79758
1045,Other,Agriculture,22787.58664
1045,Other,Manufacturing,22866.46794
1045,Residual_fuel_oil,Agriculture,0
1045,Residual_fuel_oil,Manufacturing,616.5654024
1047,Coal,Manufacturing,14351.11205
1047,Coal,Mining,3292.976734
1047,Coke_and_breeze,Manufacturing,278.1486426
1047,Diesel,Agriculture,68637.26569
1047,Diesel,Construction,54385.15465
1047,Diesel,Manufacturing,35784.67536
1047,Diesel,Mining,9987.752825
1047,LPG_NGL,Agriculture,29943.0104
1047,LPG_NGL,Construction,2083.5959
1047,LPG_NGL,Manufacturing,26034.56897
1047,Natural_gas,Construction,18548.11766
1047,Natural_gas,Manufacturing,7305143.492
1047,Natural_gas,Mining,2612.74657
1047,Net_electricity,Agriculture,26259.3431
1047,Net_electricity,Construction,14286.3543
1047,Net_electricity,Manufacturing,983179.7589
1047,Net_electricity,Mining,6832.271069
1047,Other,Agriculture,19385.07324
1047,Other,Manufacturing,9802753.628
1047,Other,Mining,5593.023576
1047,Residual_fuel_oil,Agriculture,0
1047,Residual_fuel_oil,Manufacturing,1007.108961
1047,Residual_fuel_oil,Mining,2222.877457
1049,Coal,Manufacturing,13388.30493
1049,Coal,Mining,8506.644265
1049,Coke_and_breeze,Manufacturing,0
1049,Diesel,Agriculture,350613.5875
1049,Diesel,Construction,78025.86183
1049,Diesel,Manufacturing,26626.79622
1049,Diesel,Mining,6623.762117
1049,LPG_NGL,Agriculture,152955.1941
1049,LPG_NGL,Construction,2990.870062
1049,LPG_NGL,Manufacturing,21194.73553
1049,Natural_gas,Construction,28397.73353
1049,Natural_gas,Manufacturing,627594.8427
1049,Natural_gas,Mining,2354.66454
1049,Net_electricity,Agriculture,314919.4841
1049,Net_electricity,Construction,19119.83115
1049,Net_electricity,Manufacturing,756688.96
1049,Net_electricity,Mining,7226.101624
1049,Other,Agriculture,99023.03074
1049,Other,Manufacturing,27940.17272
1049,Other,Mining,3710.939256
1049,Residual_fuel_oil,Agriculture,0
1049,Residual_fuel_oil,Manufacturing,4549.039099
1049,Residual_fuel_oil,Mining,2546.688483
1051,Coal,Manufacturing,13426.53393
1051,Coal,Mining,11799.621
1051,Coke_and_breeze,Manufacturing,0
1051,Diesel,Agriculture,67223.72165
1051,Diesel,Construction,150220.2081
1051,Diesel,Manufacturing,4485.505646
1051,Diesel,Mining,17897.08713
