Year,CO2 (SSP 119),CO2 (SSP 126),CO2 (SSP 245),CO2 (SSP 370),CO2 (SSP 585)
2055,435.7847614,471.1175222,516.1311923,555.7555376,584.742154
2056,435.1655141,471.6757052,519.203275,560.9341897,592.4573965
2057,434.5781026,472.1886521,522.2153299,566.072471,600.415539
2058,433.9171766,472.6069114,525.2745927,571.3595848,608.446937
2059,433.2633653,472.9411753,528.2483859,576.7875083,616.7373193
2060,432.620448,473.190203,531.1052093,582.1810009,625.2816681
2061,431.9858453,473.3928273,533.9902195,587.603908,634.0766214
2062,431.284705,473.6329701,536.9449803,593.1861935,642.9049059
2063,430.5991283,473.8235014,539.8333057,598.7751188,652.0715017
2064,429.8954601,473.9147551,542.6931538,604.4237817,661.4154359
2065,429.2082616,473.9328939,545.4617639,610.0188532,670.9595571
2066,428.4569881,473.9273054,548.2599365,615.7592353,680.7813883
2067,427.71768,473.8562077,550.9350785,621.6065167,690.6745922
2068,426.9678607,473.7704329,553.5578606,627.4125702,700.755657
2069,426.1687304,473.6510303,556.1912904,633.2796663,711.1314771
2070,425.4317702,473.4769194,558.7694917,639.2621163,721.7223732
2071,424.6761865,473.3084542,561.3258841,645.4211562,732.5284956
2072,423.8714742,473.0626698,563.7619148,651.5038774,743.5697803
2073,423.0901303,472.7296122,566.1763267,657.5775186,754.8685172
2074,422.2448556,472.3827157,568.6227241,663.80693,766.1525293
2075,421.3889163,471.9436463,570.9532423,670.1672524,777.7803959
2076,420.5777251,471.4743991,573.1710519,676.541622,789.647237
2077,419.7234054,470.956759,575.3224026,682.8639897,801.6346287
2078,418.8345914,470.3184221,577.4582351,689.2934268,813.6143787
2079,417.9829159,469.6777365,579.4229469,695.7990126,825.9502251
2080,417.1023104,469.0189966,581.2810843,702.4506552,838.5111575
2081,416.1787919,468.2058027,583.1141454,709.1276493,851.2731343
2082,415.3034877,467.3338687,584.9118358,715.845378,864.163021
2083,414.3651447,466.4491108,586.5647287,722.6926911,877.3765299
2084,413.4241195,465.4975807,588.1916349,729.5907718,890.6412672
2085,412.4572088,464.55557,589.7425621,736.5264556,903.7451683
2086,411.4985186,463.5287503,591.1150604,743.5533604,917.0163483
2087,410.4735833,462.4169004,592.4288454,750.6701817,930.3820439
2088,409.4795408,461.4209161,593.7181831,757.9881819,943.8509582
2089,408.4653278,460.3634378,594.7954262,765.303043,957.2614924
2090,407.3936733,459.2366169,595.7991372,772.640016,970.7112202
2091,406.3521945,458.0690849,596.80393,779.9778021,984.3573894
2092,405.2605173,456.8979662,597.6679295,787.451067,997.9967365
2093,404.1336582,455.7063591,598.3624289,794.9771309,1011.770279
2094,403.0551669,454.5100359,599.0493235,802.5648061,1025.522594
2095,401.9196012,453.3489375,599.7144612,810.4028374,1039.229028
2096,400.736997,452.1778524,600.2531908,818.3106094,1052.844484
2097,399.5952474,451.013749,600.781904,826.1485472,1066.590058
2098,398.4146987,449.8903367,601.2103113,834.2113119,1080.310121
2099,397.1783224,448.8096404,601.6308782,842.3233572,1093.82302
2100,395.9808703,447.7748709,602.1329216,850.475621,1107.600964
