Year,Temperature (SSP 119),Temperature (SSP 126),Temperature (SSP 245),Temperature (SSP 370),Temperature (SSP 585)
2062,14.78144633,14.85829601,15.17518926,15.65051681,15.85460127
2063,14.69320566,14.78715818,15.26399733,15.55209457,15.73210907
2064,14.51774659,14.77633529,15.34699411,15.81088711,16.04767801
2065,14.4732889,14.81611692,15.14952886,15.81847045,15.99059776
2066,14.35214511,14.97929298,15.18914848,15.64807771,15.93518767
2067,14.39015636,14.85384303,15.31473719,15.65792571,16.08975181
2068,14.55427503,14.9693635,15.35677646,15.86270703,15.98139826
2069,14.517712,14.99856552,15.29816381,16.06969634,16.22486171
2070,14.63937733,14.89640868,15.17336753,15.78194468,16.16869531
2071,14.71502253,14.82107516,15.26429699,15.79199029,16.21284614
2072,14.36930262,14.84615324,15.44971837,16.12007732,16.11247617
2073,14.56050283,14.76359479,15.45415645,16.34564253,16.27211477
2074,14.67626896,14.80448077,15.37433066,16.36885668,16.41120661
2075,14.44125675,14.74617316,15.45701531,16.07216522,16.35955564
2076,14.43868003,14.63606439,15.55167309,15.979925,16.303294
2077,14.44354019,14.92360687,15.6665998,16.16362671,16.42339839
2078,14.33332855,15.07026867,15.46686827,16.25085027,16.69176023
2079,14.43123783,14.83005341,15.5293091,16.14337135,16.549289
2080,14.53965885,14.93147878,15.62464142,16.30398526,16.45716285
2081,14.47660295,14.81548375,15.45832616,16.42774992,16.73216146
2082,14.53099252,15.06034671,15.69968322,16.41546237,16.85011197
2083,14.52012937,14.89915742,15.67157563,16.35616557,16.6678403
2084,14.43407149,14.67953537,15.47914329,16.30829995,16.86250213
2085,14.40630771,14.76897532,15.67130744,16.4545283,16.87913273
2086,14.45952632,14.96557902,15.79725754,16.5451387,16.90964856
2087,14.2828412,14.83796404,15.41572,16.52458899,16.83566264
2088,14.29964657,14.84816806,15.60214882,16.64293738,16.94591273
2089,14.36514859,14.88349673,15.70396967,16.64042387,17.30715657
2090,14.4168718,14.8858857,15.64091624,16.73082421,17.1256227
2091,14.52177041,14.81403621,15.46734438,16.61614215,17.21121636
2092,14.51932243,14.85117839,15.71425747,16.65120651,17.23659882
2093,14.35390015,14.81746602,15.60303359,16.90803993,17.29696171
2094,14.46591558,14.71866562,15.68946904,16.91930575,17.24123464
2095,14.44091793,14.58331709,15.87484597,16.73412933,17.36203474
2096,14.29118099,14.64076179,15.55564642,16.88638256,17.40061807
2097,14.33207137,14.90804505,15.74853539,16.88573116,17.18686663
2098,14.30610451,14.76803632,15.78562511,16.85377583,17.48547678
2099,14.36937104,14.78818676,15.60940436,16.99015303,17.68056093
2100,14.39830118,14.78704309,15.79539672,16.91055575,17.55996972
